record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,1.49,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
2,Load_Recovery_Image,PASS,PASS,,PASS,11.29,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
3,Load_LFS_EXT_Asset,PASS,PASS,,PASS,90.02,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
4,Flash_STLink,PASS,PASS,,PASS,33.61,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
5,FW_Version,2023.15.101,2023.15.101,,2023.15.101,4.085762,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
6,Hw_Version,Solar,Solar,,Solar,3.063759,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,12.066775,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,15,35,C,28.000,3.087942,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,4.080970,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.55,3.85,V,3.678020,0.244013,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.782,1.818,V,1.812050,0.255359,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.002430,0.245348,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.110145,0.246069,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,10.783,11.995,V,11.840965,0.244642,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,6.069135,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,5.063555,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
17,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.323898,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,5.072980,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
19,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.324518,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,4.082810,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,4.051673,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,2.853376,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
23,flip_dot,PASS,PASS,,PASS,4.547144,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
24,se,PASS,PASS,,PASS,8.102950,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
25,Can_Data,PASS,PASS,,PASS,7.266030,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
26,TST_SOLAR_L,PASS,PASS,,PASS,5.075925,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
27,SOLAR_L_Voltage,7,8,V,7.21,0.000000,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
28,SOLAR_L_Current,20,85000,uA,40986.00,0.006008,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
29,TST_SOLAR_R,PASS,PASS,,PASS,5.084599,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
30,SOLAR_R_Voltage,7,8,V,7.20,0.000000,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
31,SOLAR_R_Current,20,85000,uA,41382.00,0.006021,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
32,rp_charge,PASS,PASS,,PASS,5.07,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
33,temp_by_mcu_sensor_Vbatt_and_RP12V,15,35,C,29.000,5.096220,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
34,sim_read,PASS,PASS,,PASS,30.081915,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
35,IMEI,1.00E+14,1.00E+15,,869965064563509,0.014986,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
36,ICCID,1.00E+19,1.00E+20,,89430301722235530712,0.013968,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
37,SET_Sleep_mode,PASS,PASS,,PASS,35.067582,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
38,Sleep_Mode_Current,0,3,mA,0.750000,20.094079,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
39,Voltage_PP4V2_SYS,3.55,3.85,V,3.699330,0.246092,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
40,Flash_STLink,PASS,PASS,,PASS,37.88,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
41,Lock_MCU_Write_Protect,PASS,PASS,,PASS,1.44,PASS,PASS,0,MFK2316MMBP2AA0011,2023-04-25 10:51:53,2023-04-25 10:59:05,G00,monolith_main_bft,10023100
