record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.015995,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.75,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,18.13,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,8.76,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.105,2023.15.105,,2023.15.105,4.088565,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.077435,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.088398,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,10,40,C,28.000,3.095233,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.081656,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.6,3.8,V,3.674030,0.247775,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.76,1.85,V,1.811490,0.247914,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,4.993460,0.248199,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.060816,0.246875,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
15,Voltage_DUT_PP12V0,11.3,12.3,V,11.797145,0.238962,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
16,nor_flash,PASS,PASS,,PASS,6.065750,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
17,lock_status,PASS,PASS,,PASS,5.065354,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
18,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.323008,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
19,unlock_status,PASS,PASS,,PASS,5.075552,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
20,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.331397,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
21,triangle_nfc,PASS,PASS,,PASS,4.094472,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
22,ui_nfc,PASS,PASS,,PASS,4.100472,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
23,speaker,PASS,PASS,,PASS,2.486880,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
24,speaker_timeout,PASS,PASS,,PASS,7.057773,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
25,flip_dot,PASS,PASS,,PASS,0.792351,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
26,flip_dot_timeout,PASS,PASS,,PASS,5.595336,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
27,se,PASS,PASS,,PASS,8.061710,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
28,Can_Data_Send,PASS,PASS,,PASS,2.875143,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
29,Can_Data_Recv,PASS,PASS,,PASS,11.948054,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
30,TST_SOLAR_L,PASS,PASS,,PASS,5.088537,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
31,SOLAR_L_Voltage,7,8,V,7.22,0.000000,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
32,SOLAR_L_Current,20,85000,uA,46772.00,0.007995,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
33,TST_SOLAR_R,PASS,PASS,,PASS,5.088642,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
34,SOLAR_R_Voltage,7,8,V,7.21,0.000000,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
35,SOLAR_R_Current,20,85000,uA,46948.00,0.008002,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
36,rp_charge,PASS,PASS,,PASS,5.08,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
37,temp_by_mcu_sensor_Vbatt_and_RP12V,10,40,C,29.000,5.103292,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
38,sim_read,PASS,PASS,,PASS,10.105126,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
39,IMEI,1.00E+14,1.00E+15,,869965065814265,0.014992,PASS,PASS,0,FK2316MMBP2AA0210,2023-05-04 13:22:38,2023-05-04 13:27:09,STT234MM01,monolith_main_bft,10023100
