record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,1.49,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
2,Load_Recovery_Image,PASS,PASS,,PASS,10.98,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
3,Load_LFS_EXT_Asset,PASS,PASS,,PASS,87.10,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
4,Flash_STLink,PASS,PASS,,PASS,33.80,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
5,FW_Version,2023.15.101,2023.15.101,,2023.15.101,4.083229,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
6,Hw_Version,Solar,Solar,,Solar,3.055290,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,12.063799,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,15,35,C,29.000,3.096434,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,4.057883,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.55,3.85,V,3.675990,0.245090,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.782,1.818,V,1.811000,0.245339,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,5.005650,0.244218,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
13,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.040234,0.244456,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0,10.783,11.995,V,11.784225,0.244844,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
15,nor_flash,PASS,PASS,,PASS,6.062078,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
16,lock_status,PASS,PASS,,PASS,5.066456,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
17,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.324441,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
18,unlock_status,PASS,PASS,,PASS,5.080029,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
19,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.325301,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
20,triangle_nfc,PASS,PASS,,PASS,4.078548,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
21,ui_nfc,PASS,PASS,,PASS,4.086997,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
22,speaker,PASS,PASS,,PASS,3.177863,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
23,flip_dot,PASS,PASS,,PASS,4.173498,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
24,se,PASS,PASS,,PASS,8.061442,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
25,Can_Data,PASS,PASS,,PASS,7.321531,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
26,TST_SOLAR_L,PASS,PASS,,PASS,5.082775,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
27,SOLAR_L_Voltage,7,8,V,7.18,0.000000,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
28,SOLAR_L_Current,20,85000,uA,50182.00,0.004997,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
29,TST_SOLAR_R,PASS,PASS,,PASS,5.084620,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
30,SOLAR_R_Voltage,7,8,V,7.17,0.000000,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
31,SOLAR_R_Current,20,85000,uA,50072.00,0.004992,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
32,rp_charge,PASS,PASS,,PASS,5.06,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
33,temp_by_mcu_sensor_Vbatt_and_RP12V,15,35,C,30.000,5.097067,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
34,sim_read,PASS,PASS,,PASS,30.104802,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
35,IMEI,1.00E+14,1.00E+15,,869965064562519,0.015986,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
36,ICCID,1.00E+19,1.00E+20,,89430301722235530605,0.016982,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
37,SET_Sleep_mode,PASS,PASS,,PASS,35.114529,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
38,Sleep_Mode_Current,0,3,mA,0.000000,20.060860,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
39,Voltage_PP4V2_SYS,3.55,3.85,V,3.699990,0.235615,PASS,PASS,0,1111,2023-04-25 17:37:20,2023-04-25 17:44:29,1,monolith_main_bft,10023100
